engine_id,predicted_rul,actual_rul,alert_level,recommended_action,time_to_maintenance,confidence,timestamp,priority_score
82,8.794931411743164,9.0,Emergency,IMMEDIATE ACTION REQUIRED: Ground aircraft and replace engine. Estimated RUL: 9 cycles.,1.8 days,0.6,2025-10-29T17:07:27.889601,57.0
34,7.308097839355469,7.0,Emergency,IMMEDIATE ACTION REQUIRED: Ground aircraft and replace engine. Estimated RUL: 7 cycles.,1.5 days,0.6,2025-10-29T17:07:27.889079,57.0
68,11.602151870727539,8.0,Emergency,IMMEDIATE ACTION REQUIRED: Ground aircraft and replace engine. Estimated RUL: 12 cycles.,2.3 days,0.6,2025-10-29T17:07:27.889601,57.0
42,11.144465446472168,10.0,Emergency,IMMEDIATE ACTION REQUIRED: Ground aircraft and replace engine. Estimated RUL: 11 cycles.,2.2 days,0.6,2025-10-29T17:07:27.889079,57.0
20,17.595067977905273,16.0,Emergency,IMMEDIATE ACTION REQUIRED: Ground aircraft and replace engine. Estimated RUL: 18 cycles.,3.5 days,0.6,2025-10-29T17:07:27.888545,57.0
31,14.189452171325684,8.0,Emergency,IMMEDIATE ACTION REQUIRED: Ground aircraft and replace engine. Estimated RUL: 14 cycles.,2.8 days,0.6,2025-10-29T17:07:27.888545,57.0
76,10.01805305480957,10.0,Emergency,IMMEDIATE ACTION REQUIRED: Ground aircraft and replace engine. Estimated RUL: 10 cycles.,2.0 days,0.6,2025-10-29T17:07:27.889601,57.0
35,10.809185028076172,11.0,Emergency,IMMEDIATE ACTION REQUIRED: Ground aircraft and replace engine. Estimated RUL: 11 cycles.,2.2 days,0.6,2025-10-29T17:07:27.889079,57.0
81,7.677814483642578,8.0,Emergency,IMMEDIATE ACTION REQUIRED: Ground aircraft and replace engine. Estimated RUL: 8 cycles.,1.5 days,0.6,2025-10-29T17:07:27.889601,57.0
61,21.896656036376953,21.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 22 cycles.,4.4 days,0.6,2025-10-29T17:07:27.889601,45.0
58,40.04118347167969,37.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 40 cycles.,1.1 weeks,0.6,2025-10-29T17:07:27.889601,45.0
56,22.968013763427734,15.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 23 cycles.,4.6 days,0.6,2025-10-29T17:07:27.889601,45.0
53,35.6646728515625,26.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 36 cycles.,1.0 weeks,0.6,2025-10-29T17:07:27.889601,45.0
100,24.38559341430664,20.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 24 cycles.,4.9 days,0.6,2025-10-29T17:07:27.889601,45.0
64,27.555706024169922,28.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 28 cycles.,5.5 days,0.6,2025-10-29T17:07:27.889601,45.0
36,24.617794036865234,19.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 25 cycles.,4.9 days,0.6,2025-10-29T17:07:27.889079,45.0
37,30.82386589050293,21.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 31 cycles.,6.2 days,0.6,2025-10-29T17:07:27.889079,45.0
38,47.27109909057617,50.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 47 cycles.,1.4 weeks,0.6,2025-10-29T17:07:27.889079,45.0
52,32.967716217041016,29.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 33 cycles.,6.6 days,0.6,2025-10-29T17:07:27.889601,45.0
40,35.96794128417969,28.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 36 cycles.,1.0 weeks,0.6,2025-10-29T17:07:27.889079,45.0
41,24.924373626708984,18.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 25 cycles.,5.0 days,0.6,2025-10-29T17:07:27.889079,45.0
49,24.11345672607422,21.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 24 cycles.,4.8 days,0.6,2025-10-29T17:07:27.889079,45.0
62,40.826507568359375,54.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 41 cycles.,1.2 weeks,0.6,2025-10-29T17:07:27.889601,45.0
66,25.25910758972168,14.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 25 cycles.,5.1 days,0.6,2025-10-29T17:07:27.889601,45.0
24,26.82510757446289,20.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 27 cycles.,5.4 days,0.6,2025-10-29T17:07:27.888545,45.0
77,33.42168426513672,34.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 33 cycles.,6.7 days,0.6,2025-10-29T17:07:27.889601,45.0
3,48.688575744628906,69.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 49 cycles.,1.4 weeks,0.6,2025-10-29T17:07:27.887523,45.0
93,49.7438850402832,85.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 50 cycles.,1.4 weeks,0.6,2025-10-29T17:07:27.889601,45.0
